Sembol,Tarih,Fiyat (Son),EMA20_gt_EMA50_gt_EMA200,MACD,MACD_Signal,MACD_Positive,ADX,RSI,OBV_Diff,BB_Low,BB_Mavg,BB_High,BB_W,ATRP_14,STOP Fiyat,TP Fiyat,GUNLUK_FARK,Haftalık Değişim (%),20G Değişim (%),Aylık Değişim (%),Ortalama Hacim (TL),Dipten Uzaklık (%),ATH'ye Uzaklık (%),ATH Breakout,ATH Dip Potansiyeli,SMA5_137_1d_Sinyal,SMA5_137_1d_Sinyal_Filt_Numeric,SMA5_137_4h_Sinyal_Filt_Numeric,Confirmed_BUY,Confirmed_SELL,Kirilim_BreakoutScore,Kirilim_PCTB,Kirilim_BBW_Squeeze,Kirilim_NEAR_10D_BRK,Kirilim_NEAR_20D_BRK,Kirilim_VRATIO10,Kirilim_CMF20,Kirilim_OBV_SLOPE5,Kirilim_ADX_SLOPE5,Kirilim_ATRP,Kirilim_DIST_HIGH,Kirilim_PASS_STRICT,Kirilim_PASS_LIGHT,Mul_KISA_VADE_PUAN,Mul_ORTA_VADE_PUAN,Mul_ANA_PUAN,Mul_RSI14,Mul_ADX14,Mul_ATR14,Mul_EMA21_gt_SMA50_gt_SMA200,SDIP_SCORE,KurumScore_Norm,BreakoutScore_Norm,MultiTFScore_Norm,MomentumScore_Norm,DipScore_Norm,RAW_SCORE,RISK_PENALTY,LOW_RISK_SCORE,TomorrowScore,Tomorrow_Adj
PRDGS,2026-02-06,6.9700,1,0.1131,0.1022,1,41.0021,64.2328,7535136.0000,6.3876,6.6365,6.8854,7.4997,0.0367,6.5900,7.3500,4.0299,7.5617,4.8120,10.8108,41672417,56.6300,10.9800,0,0,AL,50,0,0,0,50.9000,1.1700,True,False,False,1.2600,-0.1710,20767187.0000,-4.0600,0.0367,0.1572,False,False,23,16,62,64.2328,41.0021,0.2555,1,5,0.0000,50.9000,64.0000,73.5000,40.0000,47.2900,0.0000,47.2900,49.3800,0.0000
VANGD,2026-02-06,62.4000,1,2.7627,2.0904,1,33.5135,74.9365,1084081.0000,46.5268,53.1440,59.7612,24.9028,0.0623,56.5700,68.2300,9.9559,21.5190,38.6667,45.1163,46980549,231.9100,0.0000,100,0,-,0,0,0,0,61.0400,1.1990,True,True,True,1.9900,0.1690,3269383.0000,6.7100,0.0623,0.0000,True,True,26,16,68,74.9365,33.5135,3.8863,1,5,0.0000,82.0400,14.0000,81.0000,40.0000,46.3400,-38.3600,7.9800,6.4700,-44.0000
VBTYZ,2026-02-06,20.8000,0,0.8612,0.5414,1,35.8491,77.0163,7545654.0000,14.3675,17.3355,20.3035,34.2420,0.0458,19.3700,22.2300,7.9398,15.4914,34.6278,33.0774,66945591,36.7500,29.3000,0,100,AL,50,0,1,0,50.9900,1.0840,True,False,False,1.7000,-0.0230,15917940.0000,9.2200,0.0458,0.2000,False,False,16,5,37,77.0163,35.8491,0.9524,0,6,0.0000,50.9900,66.0000,45.0000,48.0000,43.3800,-8.3300,35.0500,51.0500,5.0000
HKTM,2026-02-06,14.2000,0,0.4290,0.2036,1,29.6518,76.2014,35954674.0000,10.4226,11.9565,13.4904,25.6585,0.0396,13.3600,15.0400,4.4118,19.7302,26.2222,25.4417,75224281,45.6400,41.5600,0,100,AL,50,0,0,0,55.6500,1.2310,True,False,False,4.4800,-0.0150,51211428.0000,5.7500,0.0396,0.2036,False,False,16,5,37,76.2014,29.6518,0.5624,0,5,0.0000,55.6500,56.0000,45.0000,40.0000,42.0100,-6.1000,35.9100,45.0100,0.0000
ARCLK,2026-02-06,123.0000,0,3.0559,2.2160,1,20.9775,70.3828,6528538.0000,107.2058,114.4900,121.7742,12.7246,0.0306,117.3500,128.6500,1.6529,7.8947,12.6374,11.9199,707729669,21.7800,22.9800,0,100,AL,50,0,1,0,32.1400,1.0840,True,False,False,0.9200,0.1530,39096251.0000,4.5700,0.0306,0.1929,False,False,20,8,48,70.3828,20.9775,3.7679,0,4,0.0000,32.1400,66.0000,58.0000,32.0000,38.5700,0.0000,38.5700,44.6600,5.0000
BRKO,2026-02-06,13.5000,1,0.9061,0.7226,1,42.4319,84.9809,1216499.0000,8.7104,10.9965,13.2826,41.5787,0.0282,12.9300,14.0700,3.8462,18.4211,44.3850,52.3702,11710920,125.0000,1.6000,100,0,-,0,0,1,0,56.6400,1.0480,True,True,True,1.3500,0.2360,3236500.0000,3.0300,0.0282,0.0246,True,True,5,13,23,84.9809,42.4319,0.3807,1,6,0.0000,77.6400,24.0000,25.5000,48.0000,38.3600,-33.5000,4.8600,30.4500,-12.8300
BLCYT,2026-02-06,46.2600,1,2.8291,1.9741,1,41.2639,79.3504,789741.0000,32.2710,39.3570,46.4430,36.0091,0.0523,42.6300,49.8900,1.2254,16.2312,30.1632,41.7279,79230299,230.6600,0.0000,100,0,-,0,0,1,0,53.4400,0.9870,True,False,False,0.3800,0.4880,15156868.0000,8.7400,0.0523,0.0220,False,False,22,13,57,79.3504,41.2639,2.4185,1,4,0.0000,53.4400,24.0000,68.0000,32.0000,36.8000,-5.5100,31.2900,42.5600,3.3800
OZYSR,2026-02-06,50.2000,1,1.6732,0.8431,1,34.7886,73.7616,1965996.0000,37.8430,43.6510,49.4590,26.6112,0.0488,46.5200,53.8800,1.9082,17.9511,22.6185,20.6731,74244701,148.2700,0.0000,100,0,-,0,0,1,0,43.7600,1.0640,True,False,False,1.0400,0.0480,11069149.0000,11.2600,0.0488,0.0243,False,False,26,16,68,73.7616,34.7886,2.4513,1,5,0.0000,43.7600,24.0000,81.0000,40.0000,36.2100,-3.1900,33.0200,42.6500,5.0000
RYSAS,2026-02-06,19.7000,1,0.9610,0.8619,1,36.3709,69.7083,-22241372.0000,15.5461,17.8075,20.0689,25.3982,0.0392,18.5400,20.8600,-0.0507,7.0652,24.6047,29.3500,271889947,61.0800,16.0300,0,0,-,0,0,1,0,45.9500,0.9180,False,False,False,1.5800,0.2900,45541678.0000,3.6300,0.0392,0.1252,False,False,26,16,68,69.7083,36.3709,0.7732,1,3,0.0000,45.9500,24.0000,81.0000,24.0000,36.1300,0.0000,36.1300,42.7300,5.0000
ENSRI,2026-02-06,27.5000,1,2.1534,1.6046,1,48.4675,76.1212,5964336.0000,16.0161,21.7955,27.5749,53.0326,0.0611,24.9800,30.0200,8.2677,16.5254,50.5200,52.7778,198298137,713.6300,0.0000,100,0,-,0,0,1,0,49.3500,0.9940,True,False,False,0.6700,0.2760,10278071.0000,9.4900,0.0611,0.0072,False,False,22,13,57,76.1212,48.4675,1.6807,1,5,0.0000,49.3500,24.0000,68.0000,40.0000,35.8500,-22.3200,13.5300,42.9400,5.0000
